"VendorID","pickup_date","pickup_weekday","is_Sunday","is_Saturday","pickup_time","pickup_hour","pickup_dayhour","dropoff_date","dropoff_time","dropoff_hour","passenger_count","trip_distance","pickup_longitude","pickup_latitude","RateCodeID","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","payment_card","payment_cash","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","Zipcode","STATION","STATION_NAME","DATE","PRCP","SNWD","SNOW","TMAX","TMIN","AWND","X2010.Population","Land.Sq.Mi","Density.Per.Sq.Mile","UnempRate","numb_sample","AreaName","Place.","State.","Population.","Housing","pctWhite","pctBlack","pctAI.AN","pctAsian","pctNHOPI","pctOthRace","pct2.Races","pctHispanic","DAHR","DA","HR","dayhour","DIR","SPD","GUS","CLG","SKC","VSB","TEMP","DEWP","MAX","MIN","PCP01"
2,"5/20/2015",4,0,0,"7:14:00 AM",7,"20/7","5/20/2015","7:17:00",7,1,0.82,-73.99790192,40.74596024,1,"N",-74.00422668,40.74584961,2,0,1,5,0,0.5,0,0,0.3,5.8,10011,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/20/2015",0,0,0,194,122,31,50984,0.661,77131.61876,"7%",46908,"New York",51000,"NY",50,984,33,252,80.3,4.6,0.2,8.9,0.1,2.9,207,20,7,"20/7",320,14,NA,722,"CLR",10,61,43,NA,NA,0
2,"5/28/2015",5,0,0,"8:39:00 AM",8,"28/8","5/28/2015","9:01:00",9,1,2.67,-73.98752594,40.73281097,1,"N",-73.97864532,40.76244354,2,0,1,15,0,0.5,0,0,0.3,15.8,10003,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/28/2015",0,0,0,294,211,18,56024,0.576,97263.88889,"7%",52037,"New York",51000,"NY",56,24,31,78,76.4,3.5,0.2,14.4,0,2.2,288,28,8,"28/8",180,5,NA,55,"",10,60,56,NA,NA,0
1,"5/7/2015",5,0,0,"9:30:00 AM",9,"7/9","5/7/2015","9:45:00",9,1,1,-73.99490356,40.75020218,1,"N",-73.98052216,40.75175858,1,1,0,10.5,0,0.5,2.25,0,0.3,13.55,10001,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/7/2015",0,0,0,267,133,10,21102,0.614,34368.07818,"9%",19050,"New York",51000,"NY",21,102,12,476,65,9,0.4,16.8,0,5,79,7,9,"7/9",NA,0,NA,NA,"",10,53,46,NA,NA,NA
2,"5/9/2015",7,0,1,"1:20:00 AM",1,"9/1","5/9/2015","1:27:00",1,1,1.41,-73.92298889,40.75548172,1,"N",-73.91527557,40.74612045,2,0,1,7,0.5,0.5,0,0,0.3,8.3,11101,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/9/2015",0,0,0,211,139,19,25484,2.613,9752.774589,"12%",19376,"New York",51000,"NY",25,484,12,317,42.5,20.8,0.7,16,0.1,15.5,91,9,1,"9/1",150,6,NA,5,"",9.1,61,55,NA,NA,NA
1,"5/22/2015",6,0,0,"9:37:00 PM",21,"22/21","5/22/2015","21:44:00",21,1,1.8,-73.98835754,40.7590065,1,"N",-73.98781586,40.77958298,1,1,0,8,0.5,0.5,2,0,0.3,11.3,10036,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/22/2015",0,0,0,233,128,27,24711,0.441,56034.01361,"10%",21102,"New York",51000,"NY",24,711,17,958,63.7,9.3,0.4,17.1,0.1,5.8,2221,22,21,"22/21",290,16,NA,NA,"BKN",10,73,38,NA,NA,NA
1,"5/20/2015",4,0,0,"10:40:00 AM",10,"20/10","5/20/2015","10:45:00",10,1,0.5,-73.96186829,40.759655,1,"N",-73.96172333,40.76532364,1,1,0,5,0,0.5,1.45,0,0.3,7.25,10022,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/20/2015",0,0,0,194,122,31,31924,0.428,74588.78505,"5%",26669,"New York",51000,"NY",31,924,23,485,86.4,1.9,0.1,9,0.1,0.9,2010,20,10,"20/10",300,9,NA,722,"SCT",10,59,43,NA,NA,0
2,"5/7/2015",5,0,0,"8:09:00 AM",8,"7/8","5/7/2015","8:18:00",8,5,1.22,-73.98571014,40.75054169,1,"N",-73.98471832,40.7590332,2,0,1,7.5,0,0.5,0,0,0.3,8.3,10018,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/7/2015",0,0,0,267,133,10,5229,0.322,16239.13043,"5%",4926,"New York",51000,"NY",5,229,4,425,57,7.6,0.3,25.7,0,6.2,78,7,8,"7/8",NA,0,NA,722,"CLR",10,53,46,NA,NA,0
2,"5/27/2015",4,0,0,"3:42:00 AM",3,"27/3","5/27/2015","4:03:00",4,1,6.97,-74.01200104,40.70734024,1,"N",-73.91494751,40.69927979,1,1,0,22.5,0.5,0.5,5.95,0,0.3,29.75,10005,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/27/2015",20,0,0,294,211,23,7135,0.071,100492.9577,"6%",4641,"New York",51000,"NY",7,135,5,317,70.1,3.4,0.1,20.7,0,2.2,273,27,3,"27/3",210,10,NA,NA,"BKN",10,63,57,NA,NA,NA
2,"5/23/2015",7,0,1,"6:49:00 PM",18,"23/18","5/23/2015","19:12:00",19,2,4.28,-73.99073029,40.72416687,1,"N",-74.00196075,40.68562317,2,0,1,18,0,0.5,0,0,0.3,18.8,10003,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/23/2015",0,0,0,211,94,20,56024,0.576,97263.88889,"7%",52037,"New York",51000,"NY",56,24,31,78,76.4,3.5,0.2,14.4,0,2.2,2318,23,18,"23/18",NA,5,NA,NA,"",10,65,20,65,53,NA
1,"5/7/2015",5,0,0,"8:04:00 PM",20,"7/20","5/7/2015","20:15:00",20,1,1.1,-74.00257111,40.75019073,1,"N",-74.00113678,40.74234009,1,1,0,8.5,0.5,0.5,1.95,0,0.3,11.75,10001,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/7/2015",0,0,0,267,133,10,21102,0.614,34368.07818,"9%",19050,"New York",51000,"NY",21,102,12,476,65,9,0.4,16.8,0,5,720,7,20,"7/20",180,9,NA,722,"SCT",10,68,43,NA,NA,0
2,"5/10/2015",1,1,0,"6:01:00 PM",18,"10/18","5/10/2015","18:44:00",18,5,17.01,-73.98980713,40.75273514,2,"N",-73.95315552,40.74131775,2,0,1,52,0,0.5,0,5.54,0.3,58.34,10018,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/10/2015",0,0,0,283,161,16,5229,0.322,16239.13043,"5%",4926,"New York",51000,"NY",5,229,4,425,57,7.6,0.3,25.7,0,6.2,1018,10,18,"10/18",180,11,NA,NA,"BKN",10,72,62,74,59,NA
2,"5/27/2015",4,0,0,"9:49:00 AM",9,"27/9","5/27/2015","10:04:00",10,1,1.96,-73.95349121,40.78249359,1,"N",-73.97360229,40.79709244,1,1,0,11.5,0,0.5,2,0,0.3,14.3,10128,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/27/2015",20,0,0,294,211,23,60453,0.465,130006.4516,"6%",51240,"New York",51000,"NY",60,453,35,240,80.4,4.7,0.2,9.6,0,2.4,279,27,9,"27/9",180,8,NA,NA,"SCT",10,61,57,NA,NA,NA
